Date,Open,High,Low,Close,Adj Close,Volume
6/9/2006,209.307007,211.5,203.125,208.895004,124.718109,4061912
6/12/2006,212.375,212.375,202.625,204.845001,122.300156,3591904
6/13/2006,202.625,203.675003,195.125,196.294998,117.195511,2736984
6/14/2006,195.244995,203.119995,181.408005,185.457993,110.725357,12786016
6/15/2006,198.25,198.25,187.625,193.820007,115.717781,5967360
6/16/2006,198.25,214.375,197.550003,210.625,128.740067,8390168
6/19/2006,210,210.625,204.533005,208.544998,127.468681,4294088
6/20/2006,211,211,200,200.919998,122.807999,3687920
6/21/2006,202.5,205.875,199.375,205.162994,125.401505,5963496
6/22/2006,206.25,211.25,206.25,209.595001,128.110474,3668104
6/23/2006,206.25,212.5,203.125,211.856995,129.493073,3304720
6/26/2006,215,215,202.257996,204.188004,124.80558,6575056
6/27/2006,207.25,207.25,200,205.570007,125.650291,5002632
6/28/2006,202.5,214.070007,200.75,212.324997,129.779114,4785400
6/29/2006,213.75,215,208.75,210.100006,128.419128,6318576
6/30/2006,216.875,220.875,213.207993,217.345001,132.847488,5449760
7/3/2006,217.75,225.938004,216.550003,225.024994,137.541672,4285520
7/4/2006,226.375,228.875,225.625,226.886993,138.679825,3584768
7/5/2006,227.125,232.75,225,230.324997,140.781296,4245072
7/6/2006,228.5,229,224.020004,225.537994,137.855316,2310920
7/7/2006,227.462006,228.975006,217.5,218.337006,133.453842,2928672
7/10/2006,217.5,227.199997,217.5,224.794998,137.401138,3859312
7/11/2006,225,226.875,220.395004,221.244995,135.231277,3618984
7/12/2006,222.5,238.625,222.5,236.287994,144.42598,9521616
7/13/2006,236.5,237.345001,231.283005,233.419998,142.673004,5383576
7/14/2006,230,237,228.136993,234.287994,143.203537,4949808
7/17/2006,235.600006,239.25,231.375,232.375,142.034241,8996832
7/18/2006,232.5,243.75,226.938004,229.311996,140.162079,11043936
7/19/2006,235.25,236.875,218.195007,219.695007,134.283905,14046384
7/20/2006,221.988007,227.5,221.25,225.770004,137.997147,6312720
7/21/2006,224.75,225.600006,219.074997,220.945007,135.047943,4391664
7/24/2006,224.375,229,216.875,227.257996,138.906586,6825088
7/25/2006,230,231.875,228.132996,230.912994,141.14064,4636600
7/26/2006,232.25,236.875,229.061996,236.100006,144.311096,5908720
7/27/2006,236.875,239.994995,234.438004,237.462006,145.143539,7399848
7/28/2006,235.024994,243.738007,231,232.113007,142.775986,3019608
7/31/2006,233.75,241.25,232.5,234.037994,143.960083,1724700
8/1/2006,215.75,234.938004,215.75,233,143.321579,1762508
8/2/2006,231.25,235.625,230,235.050003,144.582611,1784732
8/3/2006,235.625,238,234.274994,236.175003,145.274628,3010272
8/4/2006,240,240.949997,235.75,237.136993,145.866302,2674200
8/7/2006,237.75,238,232.75,234.024994,143.952087,1719964
8/8/2006,235,239.5,233.75,238.699997,146.827759,1178400
8/9/2006,237.5,243.75,235.875,241.524994,148.565506,2052120
8/10/2006,240.25,243.75,240,241.438004,148.511917,2279124
8/11/2006,242.475006,243.462006,239.25,241.899994,148.796127,1893972
8/14/2006,243.438004,243.75,239.75,241.162994,148.342804,1721428
8/16/2006,244.75,246.125,242,243.050003,149.503494,3804268
8/17/2006,243.75,245.75,239.5,240.037994,147.650757,2497168
8/18/2006,241.25,243.125,240,242.425003,149.11908,1803640
8/21/2006,244,244,239.25,242.324997,149.057556,2414088
8/22/2006,243,245.75,242.5,243.850006,149.99559,2178096
8/23/2006,244,244.688004,240.024994,240.774994,148.104111,2497736
8/24/2006,242.5,243.725006,238.311996,242.600006,149.226761,2369852
8/25/2006,242.75,244.225006,241.912994,243.600006,149.841843,2611752
8/28/2006,243.75,246.324997,242.074997,245.274994,150.872116,2300316
8/29/2006,246.25,248,245.75,247.524994,152.256134,2679596
8/30/2006,247.774994,248.75,245.261993,245.949997,151.287308,2744772
8/31/2006,246,251,246,249.511993,153.478348,6076856
9/1/2006,249,250.25,247.774994,249.811996,153.662903,1728728
9/4/2006,249.75,255,249.75,254.287994,156.416168,2010492
9/5/2006,255.75,257.5,250.25,251.449997,154.670471,3945288
9/6/2006,254.375,254.375,247.774994,248.399994,152.794342,2800432
9/7/2006,245.074997,248.75,245.074997,246.675003,151.733353,1583584
9/8/2006,251.5,251.5,246.25,247.75,152.394516,1570564
9/11/2006,249.75,249.75,237.25,238.363007,146.620438,4073480
9/12/2006,238.75,245,238,244.475006,150.380066,1835256
9/13/2006,245.75,252,245.25,249.988007,153.77121,2307632
9/14/2006,252.25,254,250.475006,253.350006,155.839172,2388728
9/15/2006,253.5,253.5,249.175003,250.675003,154.193741,2359700
9/18/2006,251.75,252.75,248.024994,249.037994,153.186829,1390388
9/19/2006,249.25,255,247.600006,252.511993,155.3237,3973944
9/20/2006,252.75,258.5,248.524994,257.513,158.399902,2695896
9/21/2006,258,264.475006,254.5,263.25,161.928802,5107184
9/22/2006,261.25,263.462006,257.524994,259.888,159.860809,2488644
9/25/2006,261.75,262.5,255.561996,256.399994,157.715317,1349580
9/26/2006,257.5,262.5,256.225006,261.075012,160.590912,3717008
9/27/2006,262.5,263.75,259.037994,260.662994,160.337524,3352740
9/28/2006,261.263,262.25,253.25,255.113007,156.92363,6121572
9/29/2006,255.524994,258.774994,255,255.511993,157.169037,1752804
10/3/2006,258.75,258.75,252.25,253.574997,155.977615,1632712
10/4/2006,254,254,245.837006,246.850006,151.840927,6947628
10/5/2006,249.5,252.25,248.25,249.938004,153.740463,5849400
10/6/2006,250.25,251.75,247,248.550003,152.886673,2766944
10/9/2006,246.25,252.25,245.136993,250.537994,154.109497,1546832
10/10/2006,250.75,254.449997,250.75,252.875,155.547043,2769780
10/11/2006,257.5,269.850006,257.5,261.187988,160.660477,6773716
10/12/2006,262.5,271.25,260.25,270.638,166.473251,5052848
10/13/2006,272.350006,280,270.524994,275.899994,169.710007,4874112
10/16/2006,281.25,287.5,278.75,282.424988,173.723648,9727060
10/17/2006,285.5,292.437988,277.5,279.225006,171.755249,8749216
10/18/2006,277.524994,279.25,275.25,276.562012,170.117249,4995084
10/19/2006,276.5,278.187988,270.662994,273.100006,167.987656,3103620
10/20/2006,275,275.5,271.524994,272.399994,167.557144,2129404
10/23/2006,273.725006,273.725006,265.350006,270.024994,167.945847,1327904
10/26/2006,270.25,272.975006,268.75,269.812012,167.81337,5140212
10/27/2006,270.287994,272.5,265.600006,268.662994,167.098709,3126408
10/30/2006,269,272,265.049988,269.837006,167.828903,4154172
10/31/2006,270,274.700012,268.774994,271.774994,169.034241,3430936
11/1/2006,274.25,276.475006,270.075012,270.799988,168.427887,1910904
11/2/2006,272.5,272.5,268,270.013,167.93837,2204376
11/3/2006,271.25,272,264.5,266.737,165.900787,3144440
11/6/2006,266.625,267.475006,264,264.850006,164.727142,2536892
11/7/2006,268.5,271.225006,265.049988,266.287994,165.621521,3219180
11/8/2006,266.25,267.725006,262.787994,265.825012,165.333557,2436760
